Sno,Date,Country/Region,Province/State,Deaths,Region
568,02-04-2020,India,Haryana,0,India
569,02-04-2020,India,Himachal Pradesh,1,India
570,02-04-2020,India,Jammu and Kashmir,2,India
571,02-04-2020,India,Jharkhand,0,India
572,02-04-2020,India,Karnataka,3,India
573,02-04-2020,India,Kerala,2,India
574,02-04-2020,India,Ladakh,0,India
575,02-04-2020,India,Madhya Pradesh,6,India
576,02-04-2020,India,Maharashtra,13,India
577,02-04-2020,India,Manipur,0,India
578,02-04-2020,India,Mizoram,0,India
579,02-04-2020,India,Odisha,0,India
580,02-04-2020,India,Puducherry,0,India
581,02-04-2020,India,Punjab,4,India
582,02-04-2020,India,Rajasthan,0,India
583,02-04-2020,India,Tamil Nadu,1,India
584,02-04-2020,India,Telengana,3,India
585,02-04-2020,India,Uttarakhand,0,India
586,02-04-2020,India,Uttar Pradesh,2,India
587,02-04-2020,India,West Bengal,3,India
588,03-04-2020,India,Andhra Pradesh,1,India
589,03-04-2020,India,Andaman and Nicobar Islands,0,India
590,03-04-2020,India,Arunachal Pradesh,0,India
591,03-04-2020,India,Assam,0,India
592,03-04-2020,India,Bihar,1,India
593,03-04-2020,India,Chandigarh,0,India
594,03-04-2020,India,Chhattisgarh,0,India
595,03-04-2020,India,Delhi,4,India
596,03-04-2020,India,Goa,0,India
597,03-04-2020,India,Gujarat,8,India
598,03-04-2020,India,Haryana,0,India
599,03-04-2020,India,Himachal Pradesh,1,India
600,03-04-2020,India,Jammu and Kashmir,2,India
601,03-04-2020,India,Jharkhand,0,India
602,03-04-2020,India,Karnataka,3,India
603,03-04-2020,India,Kerala,2,India
604,03-04-2020,India,Ladakh,0,India
605,03-04-2020,India,Madhya Pradesh,6,India
606,03-04-2020,India,Maharashtra,16,India
607,03-04-2020,India,Manipur,0,India
608,03-04-2020,India,Mizoram,0,India
609,03-04-2020,India,Odisha,0,India
610,03-04-2020,India,Puducherry,0,India
611,03-04-2020,India,Punjab,5,India
